atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,commits_count,contributors_count,defective,dpt_count,etp_count,filepath,highest_experience,loc_count,median_hunks_count,minor_contributors_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,release_date,release_end,release_start,repo,total_added_loc,total_removed_loc,apls_count,niu_count,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nvr_count
5.0,3.0,0.16,0.0,0.0,1.0,1.0,no,2.0,4.95,tasks/apt_install.yml,2.09,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,4.0,4.0,1.0,2.0,6.0,1.0,2016-02-29 13:01:14-05:00,c0a575a4d0d5cd8c461b6388abf28ee3a245fd42,19e4baf84ed23d0574858ba4994377d2e58c3a96,threatstack/threatstack-ansible,1.0,1.0,,,,,,,,,,,,
4.0,6.0,0.23,3.0,0.12,6.0,1.0,yes,3.0,5.34,tasks/ip-list.yml,0.55,26.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,6.0,6.0,1.0,10.0,6.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,42.0,6.0,,,,,,,,,,,,
5.0,6.0,0.19,1.0,0.03,15.0,1.0,no,2.0,5.53,handlers/main.yml,1.0,32.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,1.0,5.0,0.0,8.0,0.89,1.0,0.11,1.0,1.0,113.0,0.0,0.0,7.0,7.0,1.0,3.0,9.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,64.0,24.0,,,,,,,,,,,,
6.0,16.0,0.18,3.0,0.03,33.0,1.0,no,2.0,6.48,tasks/main.yml,2.53,91.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,57.0,0.0,0.0,1.0,6.0,0.0,5.0,0.83,1.0,0.17,0.0,1.0,254.0,11.0,0.69,16.0,5.0,0.31,4.0,6.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,167.0,56.0,,,,,,,,,,,,
8.0,5.0,0.13,8.0,0.21,10.0,1.0,no,2.0,5.53,tasks/freebsd_service.yml,1.57,38.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,2.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,5.0,5.0,1.0,7.0,6.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,95.0,43.0,,,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,14.0,1.0,no,3.0,4.94,meta/main.yml,0.69,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,48.0,2.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,47.0,14.0,,,,,,,,,,,,
10.0,22.0,0.11,3.0,0.02,79.0,3.0,no,2.0,6.98,tasks/configure.yml,16.71,192.0,2.0,2.0,0.0,0.0,0.0,63.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.45,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,15.0,9.0,0.0,21.0,0.95,1.0,0.05,0.0,2.0,810.0,0.0,0.0,21.0,21.0,1.0,20.0,22.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,844.0,626.0,,,,,,,,,,,,
9.0,5.0,0.18,9.0,0.32,5.0,1.0,no,2.0,5.45,tasks/openbsd_service.yml,0.81,28.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.0,2.0,0.0,3.0,0.6,2.0,0.4,0.0,0.0,99.0,0.0,0.0,3.0,3.0,1.0,8.0,5.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,57.0,14.0,,,,,,,,,,,,
6.0,2.0,0.22,2.0,0.22,1.0,1.0,no,2.0,5.61,tasks/fail_google_dns.yml,0.16,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,14.0,0.0,,,,,,,,,,,,
9.0,2.0,0.22,2.0,0.22,10.0,2.0,no,2.0,4.44,tasks/linux_service.yml,1.27,9.0,1.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,29.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,2017-02-24 16:15:30+00:00,7a1244123d4226e346c74b2084553c8dfa11905e,aa305b84a6778442129e4f0b93756cb9647c00a7,nusenu/ansible-relayor,63.0,49.0,,,,,,,,,,,,
